Metric,Value
route__drc_errors__iter:4,9
route__wirelength__iter:4,1407150
route__drc_errors__iter:5,9
route__wirelength__iter:5,1407150
route__drc_errors,0
route__wirelength,1407073
route__vias,184742
route__vias__singlecut,184742
route__vias__multicut,0
route__drc_errors__iter:6,0
route__wirelength__iter:6,1407147
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-0418,25
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,1337.44
design__instance__count__class:fill_cell,57392
design__instance__area__class:fill_cell,576703
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,48
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,48
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,48
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,48
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19987
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000128115
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000684255
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,6.60387E-7
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000684255
design_powergrid__voltage__worst,0.0000684255
design_powergrid__voltage__worst__net:VPWR,1.19987
design_powergrid__drop__worst,0.000128115
design_powergrid__drop__worst__net:VPWR,0.000128115
design_powergrid__voltage__worst__net:VGND,0.0000684255
design_powergrid__drop__worst__net:VGND,0.0000684255
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,7.34999999999999950857994431008268776395198074169456958770751953125E-7
ir__drop__worst,0.00012799999999999999420775831371344111175858415663242340087890625
magic__drc_error__count,60767
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
