net,length_um
m.u_conv3.u_weights._07421_,761.47µm
net554,761.22µm
net465,760.44µm
net1112,759.805µm
net989,757.8µm
net892,757.345µm
net1084,754.71µm
m.u_conv3.u_weights._03994_,751.555µm
net615,751.55µm
net1505,751.34µm
net956,750.69µm
net697,749.74µm
net1557,747.38µm
net1312,746.915µm
m.embedding\[14\],746.015µm
net631,745.42µm
net736,743.765µm
net915,743.2µm
net691,742.755µm
net1012,742.34µm
net498,742.295µm
net730,741.575µm
net1455,741.13µm
net1551,739.38µm
net548,739.105µm
net967,738.525µm
net748,738.49µm
net672,738.035µm
m.u_conv3.u_weights._03839_,737.32µm
net485,736.45µm
net710,735.345µm
m.u_conv3.u_weights._01882_,734.625µm
net1531,734.33µm
m.u_conv3.input_buf\[42\],733.805µm
m.u_conv3.u_weights._14310_,732.95µm
net1518,732.32µm
net1291,731.89µm
m.u_conv3.u_weights._05307_,731.105µm
m.u_conv3.u_weights._05313_,730.665µm
m.u_conv3.u_weights._03370_,730.17µm
net1492,730.03µm
m.embedding\[0\],729.615µm
net1217,727.34µm
net524,727.145µm
net739,727.09µm
m.u_conv3.u_weights._13192_,726.465µm
m.u_conv3.u_weights._08611_,724.77µm
net1481,724.34µm
m.u_conv3.u_weights._12450_,724.13µm
m.embedding\[1\],723.44µm
net1504,722.97µm
net1269,721.58µm
net1426,719.885µm
net1266,719.515µm
m.u_conv3.u_weights._10114_,719.37µm
m.u_conv3.u_weights._13694_,719.11µm
net894,718.36µm
m.u_conv3.u_weights._06804_,718.175µm
net686,718.175µm
net798,717.75µm
m.u_conv3.u_weights._12524_,717.745µm
m.embedding\[26\],716.68µm
m.u_conv3.u_weights._06590_,716.56µm
net1243,715.605µm
net682,714.615µm
net1144,713.635µm
net1239,713.56µm
m.u_conv3.input_buf\[55\],713.095µm
net652,711.895µm
net1037,711.85µm
net707,711.805µm
net1387,711.43µm
net876,711.395µm
net628,710.435µm
net1026,710.405µm
net541,710.4µm
net717,710.18µm
m.u_conv3.input_buf\[53\],709.755µm
m.u_conv3.u_weights._10443_,708.97µm
m.embedding\[7\],708.91µm
m.u_conv3.u_weights._05387_,705.705µm
m.embedding\[25\],705.075µm
m.u_conv3.u_weights._00612_,704.82µm
net659,704.095µm
net670,703.87µm
net1288,703.335µm
net744,703.29µm
net1332,703.17µm
net199,701.35µm
net575,700.55µm
m.u_conv3.input_buf\[28\],700.53µm
net647,698.7µm
net980,698.04µm
net197,697.61µm
net888,697.27µm
net986,696.51µm
m.u_conv3.u_weights._03456_,695.85µm
m.u_conv3.u_weights._01512_,695.15µm
net641,694.46µm
net684,693.66µm
net539,693.295µm
net750,691.955µm
net518,690.42µm
net1405,690.265µm
net921,688.515µm
net725,687.88µm
net1192,687.695µm
net1535,687.435µm
m.embedding\[30\],686.13µm
m.embedding\[38\],686µm
net1030,685.965µm
net713,685.845µm
net1498,685.42µm
m.u_conv3.u_weights._01898_,685.15µm
net1536,685.055µm
net1085,684.965µm
net1560,684.46µm
m.u_conv3.u_weights._06651_,684.45µm
net1029,684.405µm
net540,683.46µm
net1306,683.255µm
net1495,683.245µm
net801,682.355µm
net885,682.12µm
net657,681.815µm
net1330,681.185µm
m.u_conv3.u_weights._00585_,681.1µm
net715,680.865µm
net865,680.82µm
net690,680.495µm
net459,680.44µm
net753,679.005µm
m.u_conv3.u_weights._03507_,678.92µm
net1077,678.87µm
m.u_conv3.u_weights._03728_,677.825µm
m.u_conv3.u_weights._08814_,677.7µm
m.u_conv3.u_weights._12406_,677.615µm
net1358,676.575µm
net457,676.04µm
net1165,676.03µm
net928,676.025µm
net1261,675.315µm
m.u_conv3.u_weights._03176_,675.16µm
net501,673.955µm
m.u_conv3.u_weights._10706_,673.84µm
m.u_conv3.input_buf\[56\],673µm
net1523,672.55µm
net706,671.775µm
net571,671.69µm
m.u_conv3.u_weights._07890_,670.73µm
net1180,670.35µm
net579,670.33µm
net607,669.19µm
net349,669.03µm
net702,668.39µm
net1310,667.665µm
net721,667.25µm
net901,666.71µm
net500,666.66µm
m.u_conv3.u_weights._08952_,666.405µm
net959,666.03µm
net1314,665.45µm
net712,664.815µm
m.u_conv3.u_weights._08334_,663.445µm
net985,662.65µm
net1011,662.57µm
net650,662.235µm
m.u_conv3.u_weights._06761_,661.82µm
net982,660.59µm
m.u_conv3.u_weights._08880_,659.33µm
net1255,659.27µm
net461,659.25µm
net804,659.2µm
m.embedding\[43\],658.75µm
net1297,658.32µm
m.u_conv3.u_weights._06662_,658.035µm
net1494,657.325µm
net1509,657.115µm
net907,656.25µm
net938,656.085µm
net1488,654.975µm
net973,654.84µm
net651,654.16µm
net997,654.155µm
net979,653.16µm
net1058,652.565µm
net1178,652.41µm
net948,652.1µm
m.u_conv3.u_weights._05166_,651.26µm
net667,651.2µm
net1301,650.92µm
m.u_conv3.u_weights._06750_,648.805µm
net1006,647.82µm
net665,647.58µm
net941,647.485µm
net695,647.05µm
m.u_conv3.u_weights._06050_,645.32µm
net658,643.72µm
net546,642.735µm
net639,640.25µm
net1082,639.73µm
net1000,639.02µm
net718,638.615µm
net451,638.355µm
net1189,637.25µm
net1246,637.035µm
net1198,636.775µm
net1392,636.77µm
m.u_conv3.input_buf\[2\],635.75µm
net1359,635.155µm
net512,634.98µm
net1238,634.655µm
net669,634.34µm
net1528,634.215µm
m.u_conv3.input_buf\[35\],634.18µm
net648,633.39µm
net1126,633.03µm
net911,632.355µm
net1102,632.305µm
net1473,631.95µm
net993,631.05µm
net1540,630.285µm
net687,630.245µm
m.u_conv3.input_buf\[8\],629.95µm
net1215,629.82µm
m.u_conv3.u_weights._12945_,629.705µm
net840,628.92µm
m.embedding\[55\],627.92µm
m.u_conv3.u_weights._10278_,627.31µm
m.u_conv3.u_weights._00829_,627.28µm
net649,625.52µm
net334,623.125µm
net561,622.505µm
net849,622.47µm
net1057,621.855µm
m.embedding\[16\],621.42µm
m.embedding\[36\],620.96µm
net1163,620.94µm
net596,620.08µm
net1563,618.87µm
net487,618.835µm
net1272,617.985µm
net962,617.645µm
net1286,617.37µm
net1047,617.33µm
net1194,617.325µm
m.u_conv3.u_weights._04074_,616.62µm
net1445,616.025µm
net912,615.7µm
m.u_conv3.u_weights._10074_,615.36µm
m.u_conv3.u_weights._09417_,615.26µm
net1403,615.07µm
m.u_conv3.u_weights._08043_,614.485µm
net476,613.615µm
net1127,613.215µm
net509,612.9µm
net1342,612.9µm
net1258,612.47µm
net535,612.42µm
net632,612.2µm
net1056,610.94µm
net455,610.59µm
net522,610.1µm
net896,610.045µm
m.u_conv3.u_weights._00652_,609.05µm
net1459,609.01µm
m.u_conv3.u_weights._10432_,605.785µm
net504,605.27µm
net1293,604.865µm
net1443,604.44µm
net1298,604.1µm
m.u_conv3.u_weights._08636_,603.905µm
net1227,603.785µm
net919,602.76µm
m.u_conv3.u_weights._03273_,602.45µm
net1256,599.74µm
net550,599.63µm
net1331,599.225µm
m.u_conv3.u_weights._09125_,598.93µm
net1045,598.53µm
net837,597.74µm
net1439,597.685µm
m.embedding\[3\],597.54µm
net1561,597.25µm
net983,597.015µm
net1425,596.845µm
net734,596.665µm
net196,595.695µm
m.u_conv3.u_weights._09388_,595.23µm
net464,595.02µm
net633,594.515µm
m.u_conv3.u_weights._03983_,593.995µm
net975,593.845µm
m.u_conv3.u_weights._05498_,592.55µm
net462,592.435µm
net984,591.79µm
net1089,590.985µm
net645,590.835µm
m.u_conv3.u_weights._08333_,588.945µm
net620,588.395µm
net963,588.34µm
m.u_conv3.u_weights._14299_,588.2µm
net661,587.85µm
net1546,587.655µm
m.u_conv3.input_buf\[33\],586.75µm
net542,586.39µm
m.embedding\[5\],586.155µm
m.u_conv3.u_weights._10075_,585.88µm
net1334,585.745µm
m.u_conv3.u_weights._12843_,585.51µm
m.u_conv3.input_buf\[34\],585.5µm
net450,585.48µm
net958,585.465µm
m.u_conv3.u_weights._10552_,585.405µm
net1052,584.89µm
net830,584.475µm
net564,584.255µm
net587,583.035µm
net1475,582.8µm
m.u_conv3.u_weights._13953_,582.01µm
m.u_conv3.u_weights._07177_,580.7µm
m.u_conv2._0648_,580.65µm
net1555,580.135µm
net1226,579.265µm
m.u_conv3.u_weights._08332_,578.83µm
net933,578.67µm
net1533,578.54µm
net692,577.69µm
net572,576.88µm
net609,576.85µm
net1530,575.135µm
net677,575.105µm
m.embedding\[49\],575.08µm
net831,575.07µm
m.embedding\[29\],574.86µm
net1562,574.53µm
m.u_conv3.u_weights._06881_,574.12µm
net1489,573.605µm
net733,573.525µm
net864,572.67µm
net1022,572.635µm
m.embedding\[47\],572.615µm
m.u_conv3.input_buf\[19\],572.195µm
net1154,571.725µm
net636,571.66µm
m.u_conv3.u_weights._06820_,571.445µm
net1002,570.785µm
net1507,570.575µm
m.u_conv3.u_weights._12448_,570.555µm
net1444,570.525µm
net1372,570.33µm
m.u_conv3.input_buf\[22\],569.195µm
net595,568.735µm
m.u_conv3.u_weights._03331_,568.58µm
net1309,568.58µm
m.u_conv3.u_weights._08204_,568.165µm
m.u_conv3.u_weights._00492_,567.54µm
net1069,567.47µm
net347,567.405µm
net1234,566.805µm
m.u_conv3.u_weights._09938_,566.02µm
net1100,565.345µm
m.u_conv3.u_weights._10421_,565.185µm
net1466,565.155µm
net477,565.07µm
net1284,565.015µm
net1249,564.95µm
net1436,564.805µm
net1396,564.68µm
m.u_conv3.u_weights._13204_,564.475µm
net1541,564.05µm
net598,563.475µm
net1338,562.975µm
net591,562.09µm
net1171,562.065µm
m.u_conv3.u_weights._09667_,561.565µm
m.u_conv3.input_buf\[1\],561.555µm
net10,561.1µm
m.u_conv3.u_weights._10204_,559.615µm
net1212,557.81µm
net1353,557.77µm
net1355,557.715µm
net589,557.61µm
m.u_conv3.u_weights._10203_,557.45µm
net1040,557.38µm
uo_out[4],557.13µm
net735,556.86µm
net700,556.445µm
net990,556.42µm
net727,556.09µm
m.u_conv3.input_buf\[15\],555.94µm
m.u_conv3.u_weights._12421_,555.875µm
m.u_conv3.u_weights._08229_,555.53µm
m.u_conv3.input_buf\[21\],555.45µm
net538,555.395µm
net454,554.78µm
net898,554.33µm
net601,553.335µm
m.u_conv3.u_weights._00869_,553.235µm
net517,552.41µm
m.u_conv3.u_weights._06887_,551.88µm
net552,551.825µm
net992,551.68µm
net930,551.52µm
net882,551.14µm
m.u_conv3.u_weights._10772_,550.515µm
net1008,550.375µm
net1237,550.21µm
m.u_conv3.input_buf\[10\],549.75µm
net1282,549.34µm
net1525,549.065µm
net917,548.69µm
net1241,548.64µm
net903,548.075µm
net1115,547.47µm
m.u_conv3.u_weights._11111_,546.125µm
m.embedding\[54\],545.945µm
net874,545.885µm
net1472,545.67µm
m.u_conv3.u_weights._15313_,545.205µm
m.u_conv3.u_weights._10769_,544.97µm
net1187,544.825µm
net585,543.535µm
net1452,543.515µm
net491,543.51µm
net341,542.36µm
net480,542.11µm
net1461,541.79µm
net626,541.555µm
m.u_conv3.u_weights._07000_,540.805µm
net1391,540.295µm
m.u_conv3.input_buf\[13\],539.76µm
net1093,539.04µm
net745,539.035µm
net681,538.2µm
net1435,537.96µm
net696,537.51µm
net569,536.805µm
net752,536.78µm
m.u_conv3.u_weights._04815_,536.7µm
net527,536.205µm
net553,536.16µm
net1378,535.795µm
m.u_conv3.input_buf\[5\],535.755µm
