net,length_um
m.sram_req_pool2\[4\],20.58µm
m.u_conv3.u_weights._07811_,20.58µm
m.u_conv3.u_weights._15073_,20.58µm
m.u_conv3.u_weights._02055_,20.55µm
m.u_conv1._067_,20.545µm
m.u_conv3.u_weights._04463_,20.545µm
m.u_conv3.u_weights._07574_,20.545µm
m.u_conv3.u_weights._08472_,20.545µm
m.u_conv3.u_weights._15470_,20.545µm
m.u_pool1._134_,20.545µm
m.u_conv3.u_weights._03616_,20.54µm
m.u_conv3.u_weights._04188_,20.54µm
m.u_pool2._043_,20.54µm
m._117_,20.53µm
m.u_conv2._0683_,20.53µm
m.u_conv3.u_weights._14330_,20.53µm
m.u_conv3.u_weights._14921_,20.53µm
net2897,20.53µm
m.u_conv2.u_weights._150_,20.52µm
m.u_conv2.u_weights._218_,20.52µm
m.u_conv3.u_weights._05064_,20.52µm
m.u_conv3.u_weights._07775_,20.52µm
m.u_conv3.u_weights._15200_,20.52µm
m.u_conv3.u_weights._10899_,20.515µm
m.u_conv3.u_weights._14015_,20.51µm
m.u_conv3.u_weights._14873_,20.51µm
m.u_conv3.u_weights._02226_,20.505µm
m.u_conv3.u_weights._08601_,20.505µm
m.u_conv3.u_weights._01699_,20.5µm
m.u_conv3.u_weights._10454_,20.5µm
m.u_conv3.u_weights._10550_,20.5µm
m.u_conv2._0559_,20.49µm
m.u_conv3.u_weights._06641_,20.49µm
m.u_conv3.u_weights._07373_,20.48µm
m.u_conv3.u_weights._12164_,20.475µm
m.u_conv3.u_weights._00231_,20.465µm
m.u_conv3.u_weights._05188_,20.46µm
m.u_conv3.u_weights._00506_,20.455µm
m.u_conv3.u_weights._12100_,20.45µm
m.u_conv3.u_weights._08171_,20.445µm
m.u_conv1.u_weights._058_,20.44µm
net2884,20.435µm
m.u_conv3.u_weights._10121_,20.43µm
m.u_conv3.u_weights._15746_,20.43µm
m.u_conv3.u_weights._01226_,20.425µm
m.u_conv3.u_weights._03059_,20.425µm
m.u_conv3.u_weights._02130_,20.42µm
m.u_conv3.u_weights._12310_,20.42µm
m.u_tree._1257_,20.42µm
m.u_conv2._0667_,20.41µm
m.u_conv2.acc\[59\]\[0\],20.41µm
m.u_conv3.u_weights._02846_,20.41µm
m.u_conv3.u_weights._13546_,20.41µm
m.u_tree._1175_,20.41µm
m.u_conv3.u_weights._04551_,20.405µm
m.u_conv3.u_weights._04873_,20.4µm
m.u_conv3.u_weights._15197_,20.4µm
m.u_tree._0860_,20.4µm
m.u_conv3.u_weights._02088_,20.395µm
m.u_conv3.u_weights._05035_,20.395µm
m.u_conv3.u_weights._11788_,20.395µm
m.u_conv3.u_weights._13301_,20.395µm
m.u_conv3.u_weights._15202_,20.395µm
m.u_conv3.u_weights._13112_,20.385µm
m.u_conv2.acc\[53\]\[0\],20.37µm
m.u_conv3.u_weights._14182_,20.37µm
m.u_conv1.u_weights._166_,20.36µm
m.u_conv2.acc\[6\]\[1\],20.36µm
m.u_conv3.u_weights._01302_,20.36µm
m.u_conv3.u_weights._05220_,20.36µm
m.u_conv3.u_weights._05290_,20.36µm
m.u_conv3.u_weights._14408_,20.36µm
m.u_conv1.u_loader._098_,20.35µm
m.u_conv3.u_weights._06557_,20.35µm
m.u_conv3.u_weights._09036_,20.35µm
m.u_tree._1030_,20.35µm
m.u_tree._1173_,20.35µm
net2317,20.35µm
m.u_conv3.u_weights._10049_,20.345µm
m.u_conv1._014_,20.34µm
m.u_conv3.u_weights._00581_,20.335µm
m.u_conv3.u_weights._04268_,20.335µm
m.u_conv3.u_weights._15047_,20.335µm
m.u_conv2.acc\[39\]\[2\],20.325µm
m.u_conv3.u_weights._06910_,20.31µm
m.u_conv3.u_weights._00463_,20.305µm
m.u_conv3.u_weights._10839_,20.305µm
m.u_conv3.u_weights._04161_,20.3µm
m.u_conv3.u_weights._12574_,20.3µm
m.u_conv2._0814_,20.29µm
m.u_conv2.acc\[63\]\[3\],20.29µm
m.u_conv3.u_weights._00067_,20.29µm
m.u_conv3.u_weights._01376_,20.29µm
m.u_conv3.u_weights._01823_,20.29µm
m.u_conv3.u_weights._02362_,20.29µm
m.u_conv3.u_weights._03039_,20.29µm
m.u_conv3.u_weights._06681_,20.285µm
m.u_tree._1412_,20.285µm
m.u_conv1._120_,20.28µm
m.u_conv2.acc\[31\]\[2\],20.28µm
m.u_conv3.u_weights._13599_,20.28µm
m.u_conv3.u_weights._12088_,20.275µm
m.u_conv1._144_,20.27µm
m.u_conv3.u_weights._07616_,20.27µm
m.u_conv3.u_weights._05568_,20.255µm
m.u_conv3.u_weights._15092_,20.255µm
m.u_conv3.u_weights._05484_,20.25µm
m.u_conv3.u_weights._12839_,20.25µm
m.u_conv3.u_weights._15436_,20.245µm
m.u_conv3.u_weights._13632_,20.24µm
m.u_conv2._0665_,20.22µm
m.u_conv3.u_weights._00240_,20.22µm
m.u_conv3.u_weights._03137_,20.22µm
m.u_conv3.u_weights._08311_,20.215µm
m.u_conv3.u_weights._10005_,20.215µm
m.u_conv3.u_weights._09100_,20.21µm
m.u_conv3.u_weights._10739_,20.21µm
m.u_conv1._157_,20.205µm
m.u_conv3.u_weights._00847_,20.19µm
m.u_conv3.u_weights._07360_,20.19µm
m.u_conv3.u_weights._02539_,20.185µm
m.u_conv1.u_loader._414_,20.18µm
m.u_conv3.u_weights._02755_,20.18µm
m.u_conv3.u_weights._08958_,20.18µm
m.u_conv3.u_weights._13537_,20.18µm
m.u_conv3.u_weights._14112_,20.18µm
m.u_conv3.u_weights._03672_,20.17µm
m.u_conv3.u_weights._04707_,20.17µm
m.u_conv3.u_weights._15376_,20.17µm
m.u_conv3.input_buf\[17\],20.16µm
m.u_conv3.u_weights._02169_,20.16µm
m.u_conv3.u_weights._06439_,20.16µm
m.u_conv3.u_weights._07482_,20.16µm
m.u_conv3.u_weights._12556_,20.16µm
m.u_conv2.u_loader._056_,20.155µm
m.u_conv3.u_weights._15431_,20.145µm
m.u_conv3.u_weights._12747_,20.13µm
m.u_conv3.u_weights._00091_,20.11µm
m.u_conv3.u_weights._07646_,20.11µm
m.u_conv3.u_weights._12334_,20.11µm
m.u_conv2._0772_,20.1µm
m.u_conv3.u_weights._06733_,20.1µm
m.u_conv3.u_weights._13441_,20.1µm
m.u_conv3.u_weights._06002_,20.095µm
m.u_conv3.u_weights._04167_,20.085µm
net1844,20.08µm
m.u_conv3.u_weights._12330_,20.08µm
m.u_conv3.u_weights._12618_,20.075µm
m.u_conv1.u_loader._390_,20.07µm
m.u_conv3.u_weights._13648_,20.07µm
m.u_conv3.u_weights._08709_,20.065µm
m.u_conv3.u_weights._14786_,20.065µm
m.u_tree._0595_,20.06µm
m.u_conv1._152_,20.05µm
m.u_conv2._0749_,20.05µm
m.u_conv3.u_weights._08210_,20.05µm
m.u_conv3.u_weights._08218_,20.05µm
m.u_conv3.u_weights._10537_,20.05µm
m.u_conv3.u_weights._12847_,20.05µm
m.u_conv3.u_weights._11378_,20.045µm
m.sram_req_pool2\[10\],20.04µm
m.u_conv1._124_,20.04µm
net1994,20.04µm
m.u_conv3.u_weights._00358_,20.04µm
m.u_conv3.u_weights._04753_,20.04µm
m.u_conv3.u_weights._08150_,20.04µm
m.u_conv3.u_weights._10000_,20.04µm
m.u_tree._0285_,20.04µm
m.u_conv3.u_weights._07672_,20.035µm
m.u_pool1.top_byte_reg\[7\],20.025µm
m.u_tree._0574_,20.025µm
m.u_conv3.u_weights._02248_,20.02µm
m.u_conv3.u_weights._04021_,20.02µm
m.u_conv3.u_weights._12287_,20.02µm
m.u_conv1.u_loader._335_,20µm
m.u_conv3.u_weights._02423_,20µm
m.u_conv3.u_weights._05436_,20µm
m.u_conv3.u_weights._13356_,20µm
m.u_conv3.u_weights._07523_,19.99µm
m.u_pool2._062_,19.99µm
m.u_conv3.u_weights._06417_,19.985µm
m.u_conv3.u_weights._07080_,19.98µm
m.u_conv3.u_weights._11151_,19.98µm
m.u_conv3.u_weights._11203_,19.98µm
m.u_conv3.u_weights._11355_,19.98µm
m.u_conv3.u_weights._13197_,19.98µm
m.u_tree._0530_,19.98µm
m.u_conv3.u_weights._05744_,19.975µm
m.u_conv3.u_weights._13336_,19.975µm
m.u_pool2._081_,19.975µm
m.u_tree._0313_,19.975µm
m.u_tree._0637_,19.955µm
m.u_conv3.u_weights._00767_,19.94µm
m.u_conv3.u_weights._01722_,19.94µm
m.u_conv3.u_weights._03393_,19.94µm
m.u_conv3.u_weights._09743_,19.94µm
m.u_tree._1492_,19.94µm
m.u_conv1.u_loader._023_,19.93µm
m.u_conv2._0584_,19.93µm
m.u_conv3.u_weights._02000_,19.93µm
m.u_conv3.u_weights._03753_,19.93µm
m.u_conv3.u_weights._11137_,19.93µm
m.u_conv3.u_weights._12007_,19.93µm
m.u_conv3.u_weights._14517_,19.93µm
m.u_mnist_loader._05_,19.93µm
m.u_conv3.u_weights._10188_,19.925µm
m.u_conv3.u_weights._06370_,19.92µm
m.u_conv3.u_weights._08091_,19.92µm
m.u_conv3.u_weights._12107_,19.92µm
m.u_conv3.u_weights._09548_,19.915µm
m.u_conv1.u_loader._220_,19.91µm
m.u_conv3.u_weights._00674_,19.905µm
m.u_conv3.u_weights._09717_,19.905µm
m.u_conv2._0566_,19.89µm
m.u_conv3.u_weights._01999_,19.89µm
m.u_conv3.u_weights._10453_,19.89µm
m.u_conv3.u_weights._01760_,19.88µm
m.u_conv3.u_weights._06648_,19.88µm
m.u_conv2.acc\[19\]\[6\],19.87µm
m.u_conv3.u_weights._00239_,19.87µm
m.u_conv3.u_weights._07595_,19.87µm
m.u_conv3.u_weights._13766_,19.87µm
m.u_tree._0156_,19.87µm
m.u_tree._0393_,19.87µm
m.u_conv3.u_weights._10994_,19.865µm
m.u_conv3.u_weights._11051_,19.865µm
m.u_conv3.u_weights._08167_,19.86µm
m.u_conv3.u_weights._12129_,19.86µm
m.u_conv3.u_weights._10208_,19.855µm
m.u_conv3.u_weights._13800_,19.855µm
m.u_tree._1092_,19.855µm
m.u_conv3.u_weights._02910_,19.85µm
m.u_conv3.u_weights._07500_,19.835µm
m.u_conv3.u_weights._03995_,19.83µm
m.u_conv3.u_weights._04304_,19.83µm
m.u_tree._0929_,19.83µm
m.u_conv2.acc\[57\]\[1\],19.825µm
m.u_conv3.u_weights._01262_,19.82µm
m.u_conv3.u_weights._04272_,19.82µm
m.u_conv3.u_weights._04649_,19.82µm
m.u_conv3.u_weights._05740_,19.82µm
m.u_conv3.u_weights._11707_,19.82µm
m.u_conv3.u_weights._13199_,19.82µm
m.u_conv3.u_weights._00149_,19.81µm
m.u_conv3.u_weights._01776_,19.81µm
m.u_conv3.u_weights._05432_,19.81µm
m.u_conv3.u_weights._10186_,19.81µm
m.u_conv3.u_weights._15640_,19.81µm
m.u_tree._0286_,19.81µm
m.u_conv3.u_weights._10845_,19.805µm
m.u_conv3.u_weights._11509_,19.805µm
m.u_conv3.u_weights._02287_,19.8µm
m.u_conv3.u_weights._03159_,19.8µm
m.u_conv3.u_weights._12062_,19.8µm
m.u_tree._0952_,19.8µm
m.u_conv3.u_weights._02519_,19.795µm
m.u_conv3.u_weights._02877_,19.77µm
m.u_conv3.u_weights._13327_,19.77µm
m.u_conv3.u_weights._09296_,19.76µm
m.u_conv1.u_weights._088_,19.755µm
m.u_conv3.u_weights._04137_,19.755µm
m.u_conv3.u_weights._05485_,19.755µm
m.u_conv3.u_weights._07299_,19.755µm
m.u_conv2.acc\[39\]\[6\],19.75µm
m.u_conv2.acc\[55\]\[0\],19.75µm
m.u_conv3.u_weights._00085_,19.75µm
m.u_conv3.u_weights._04811_,19.75µm
m.u_conv3.u_weights._08398_,19.75µm
m.u_conv3.u_weights._10272_,19.75µm
m.u_conv3.u_weights._11267_,19.75µm
m.u_conv3.u_weights._00482_,19.745µm
m.u_conv3.u_weights._07597_,19.745µm
m.u_conv2._0895_,19.74µm
m.u_tree._0991_,19.725µm
m.u_conv3.u_weights._07666_,19.72µm
m.u_conv3.u_weights._08145_,19.71µm
m.u_conv3.u_weights._15066_,19.71µm
m.u_conv3.u_weights._15341_,19.71µm
m.u_tree._0455_,19.71µm
m.u_conv3.u_weights._12400_,19.7µm
m.u_conv3.u_weights._14296_,19.7µm
m.u_conv2.acc\[42\]\[0\],19.695µm
m.u_conv3.u_weights._13272_,19.69µm
m.u_conv3.u_weights._00954_,19.685µm
m.u_conv3.u_weights._15016_,19.675µm
m.u_conv1.u_loader._075_,19.665µm
m.u_conv3.u_weights._09565_,19.65µm
m.u_conv3.u_weights._00021_,19.645µm
m.u_conv3.u_weights._01790_,19.64µm
m.u_conv3.u_weights._06821_,19.64µm
m.u_conv3.u_weights._00179_,19.63µm
m.u_conv3.u_weights._04943_,19.63µm
m.u_conv3.u_weights._06384_,19.63µm
m.u_conv3.u_weights._08736_,19.63µm
m.u_conv2._0930_,19.62µm
net2257,19.62µm
m.u_conv3.u_weights._00841_,19.615µm
m.u_conv3.u_weights._03142_,19.615µm
m.u_conv3.u_weights._05456_,19.615µm
m.u_tree._0471_,19.61µm
m.u_conv2.acc\[52\]\[2\],19.605µm
m.u_conv2.u_loader._373_,19.605µm
m.u_conv3.u_weights._05646_,19.585µm
m.u_conv3.u_weights._10636_,19.585µm
m.u_conv3.u_weights._06022_,19.58µm
m.u_conv3.u_weights._10790_,19.58µm
m.u_conv2.acc\[9\]\[5\],19.57µm
m.u_conv3.u_weights._01419_,19.57µm
m.u_conv3.u_weights._02225_,19.57µm
m.u_conv3.u_weights._02490_,19.57µm
m.u_conv3.u_weights._12957_,19.57µm
m.u_pool2.bot_byte_reg\[1\],19.57µm
m.u_tree._0001_,19.57µm
net2464,19.57µm
net2949,19.57µm
m.u_conv3.u_weights._14043_,19.565µm
m.u_conv2._0858_,19.56µm
m.u_conv2.u_weights._026_,19.56µm
m.u_conv3.u_weights._01837_,19.56µm
m.u_conv3.u_weights._03738_,19.56µm
m.u_tree._1103_,19.56µm
m.u_conv3.u_weights._12320_,19.555µm
m.u_conv3.u_weights._00663_,19.54µm
m.u_conv3.u_weights._02550_,19.54µm
m.u_conv3.u_weights._03620_,19.54µm
m.u_conv3.u_weights._07422_,19.54µm
m.u_conv3.u_weights._09280_,19.54µm
m.u_conv3.u_weights._12629_,19.54µm
m.u_conv3.u_weights._15453_,19.54µm
m.u_conv3.u_weights._13827_,19.53µm
m.u_conv1.u_loader._077_,19.525µm
m.u_conv3.u_weights._15336_,19.52µm
m.u_conv3.u_weights._12403_,19.51µm
m.u_conv3.u_weights._14028_,19.51µm
m.u_tree._0679_,19.51µm
m.u_conv3.u_weights._00598_,19.505µm
m.u_conv3.u_weights._07599_,19.5µm
m.u_conv3.u_weights._08487_,19.5µm
m.u_conv3.u_weights._02040_,19.495µm
m.u_conv3.u_weights._08941_,19.495µm
m.u_conv3.u_weights._11053_,19.495µm
m.u_conv3.u_weights._11243_,19.495µm
m.u_conv3.u_weights._15328_,19.485µm
m.u_tree._0515_,19.485µm
m.u_conv3.u_weights._05231_,19.48µm
m.u_conv3.u_weights._07100_,19.48µm
m.u_conv3.u_weights._07658_,19.48µm
m.u_conv3.u_weights._14800_,19.48µm
m.u_conv3.u_weights._05741_,19.47µm
m.u_conv3.u_weights._11170_,19.47µm
m.u_conv3.u_weights._14007_,19.47µm
m.u_conv3.u_weights._04095_,19.465µm
m.u_conv3.u_weights._08937_,19.46µm
m.u_tree._1050_,19.46µm
m.u_conv3.u_weights._13896_,19.455µm
m.u_conv2._0759_,19.45µm
m.u_conv3.u_weights._00276_,19.45µm
m.u_conv3.u_weights._01312_,19.45µm
m.u_conv3.u_weights._03707_,19.45µm
m.u_conv3.u_weights._13214_,19.45µm
m.u_conv3.u_weights._13673_,19.45µm
m.u_conv2.acc\[4\]\[3\],19.44µm
m.u_conv3.u_weights._03522_,19.44µm
m.u_conv3.u_weights._09347_,19.44µm
m.u_conv3.u_weights._06799_,19.425µm
m.u_tree._0725_,19.425µm
m.u_tree._0103_,19.405µm
m.u_conv2.acc\[55\]\[5\],19.4µm
m.u_conv2.acc\[56\]\[3\],19.4µm
m.u_conv3.u_weights._00341_,19.4µm
m.u_conv3.u_weights._02296_,19.4µm
m.u_conv3.u_weights._10883_,19.4µm
m.u_conv3.u_weights._00451_,19.395µm
m.u_conv2.acc\[7\]\[0\],19.39µm
m.u_conv2.u_weights._378_,19.39µm
m.u_conv3.u_weights._14431_,19.39µm
m.u_conv3.u_weights._02852_,19.385µm
m.u_conv3.u_weights._08287_,19.385µm
m.u_conv1._082_,19.38µm
m.u_conv1.u_weights._140_,19.38µm
m.u_conv3.u_weights._00782_,19.38µm
m.u_conv3.u_weights._08008_,19.38µm
m.u_conv3.u_weights._08761_,19.38µm
m.u_conv3.u_weights._05914_,19.375µm
m.u_conv3.u_weights._10044_,19.365µm
m.u_conv3.u_weights._06721_,19.35µm
m.u_conv3.u_weights._07128_,19.35µm
m.u_conv3.u_weights._14538_,19.35µm
m.u_conv3.u_weights._04402_,19.345µm
m.u_conv1.u_weights._169_,19.34µm
m.u_conv3.u_weights._03423_,19.34µm
m.u_conv3.u_weights._14169_,19.34µm
m.u_conv3.u_weights._03474_,19.33µm
m.u_conv3.u_weights._04382_,19.33µm
m.u_conv3.u_weights._06125_,19.33µm
m.u_conv3.u_weights._06731_,19.33µm
m.u_conv3.u_weights._14095_,19.33µm
m.u_tree._1259_,19.33µm
m.u_tree._1530_,19.33µm
m.u_conv3.u_weights._03609_,19.325µm
m.u_tree._0675_,19.325µm
m.pool2_start,19.32µm
m.u_conv2._0839_,19.32µm
m.u_conv3.u_weights._07828_,19.315µm
m.u_conv3.u_weights._13071_,19.315µm
m.u_conv1._131_,19.305µm
m.u_conv1._116_,19.29µm
m.u_conv3.u_weights._01170_,19.29µm
m.u_conv1.u_weights._142_,19.275µm
m.u_conv3.u_weights._13370_,19.275µm
m.u_conv2.acc\[28\]\[1\],19.26µm
m.u_conv3.u_weights._01468_,19.26µm
m.u_conv3.u_weights._04953_,19.26µm
m.u_tree._0552_,19.255µm
m.u_conv3.u_weights._01260_,19.245µm
net2958,19.24µm
m.u_conv3.u_weights._00230_,19.23µm
m.u_conv3.u_weights._05597_,19.23µm
m.u_conv3.u_weights._12505_,19.23µm
m.u_conv2._0711_,19.22µm
m.u_conv2.u_weights._203_,19.22µm
m.u_conv3.u_weights._12763_,19.22µm
m.u_conv3.u_weights._00148_,19.21µm
m.u_conv3.u_weights._06160_,19.21µm
m.u_tree._1391_,19.21µm
m.u_conv2.u_loader._380_,19.2µm
m.u_conv3.u_weights._05281_,19.2µm
m.u_conv3.u_weights._00472_,19.16µm
m.u_conv3.u_weights._03955_,19.16µm
m.u_conv3.u_weights._05454_,19.16µm
m.u_conv3.u_weights._07545_,19.15µm
m.u_conv3.u_weights._12481_,19.15µm
m._050_,19.14µm
m.u_conv2.u_loader._340_,19.14µm
m.u_conv3.u_weights._02715_,19.14µm
m.u_conv3.u_weights._08867_,19.14µm
m.u_conv3.u_weights._11278_,19.14µm
m.u_conv1.u_loader._031_,19.125µm
m.u_conv3.u_weights._13421_,19.12µm
m.u_pool1._103_,19.12µm
m.u_conv3.u_weights._05572_,19.11µm
m.u_conv3.u_weights._13387_,19.11µm
m.u_conv3.u_weights._11471_,19.105µm
m.u_conv3.u_weights._14768_,19.105µm
m.u_pool1.c_out\[2\],19.105µm
m.u_conv1.u_loader._181_,19.1µm
m.u_conv3.u_weights._01671_,19.1µm
m.u_conv3.u_weights._04547_,19.1µm
m.u_conv3.u_weights._05689_,19.1µm
m.u_conv3.u_weights._11328_,19.095µm
m.u_conv2._0724_,19.09µm
clknet_0_clk,19.09µm
net2976,19.09µm
m.u_conv3.u_weights._09825_,19.085µm
m.u_tree._0089_,19.085µm
m.u_conv2.u_weights._166_,19.08µm
m.u_conv3.u_weights._02221_,19.08µm
m.u_conv3.u_weights._06749_,19.08µm
m.u_conv3.u_weights._07506_,19.08µm
m.u_conv3.u_weights._07819_,19.08µm
m.u_tree._0664_,19.08µm
net2299,19.08µm
m.u_conv3.u_weights._07997_,19.075µm
m.u_conv3.u_weights._08266_,19.075µm
m.u_conv3.u_weights._09397_,19.075µm
m.u_conv3.u_weights._06671_,19.07µm
m.u_conv2.u_loader._341_,19.06µm
m.u_conv3.u_weights._04606_,19.06µm
m.u_conv3.u_weights._06858_,19.06µm
m.u_conv3.u_weights._09811_,19.06µm
m.u_conv3.u_weights._06816_,19.045µm
m.u_conv3.u_weights._15125_,19.04µm
m.u_conv3.u_weights._15389_,19.04µm
m.u_conv2.acc\[11\]\[0\],19.03µm
m.u_conv3.u_weights._03776_,19.03µm
m.u_conv3.u_weights._05968_,19.03µm
m.u_conv3.u_weights._06443_,19.03µm
m.u_conv3.u_weights._07804_,19.03µm
m.u_conv3.u_weights._08126_,19.03µm
m.u_conv3.u_weights._12855_,19.03µm
m.u_conv2._0999_,19.025µm
m.u_conv2.u_weights._136_,19.02µm
m.u_conv3.u_weights._11935_,19.02µm
m.u_conv3.u_weights._14522_,19.02µm
m.u_conv3.u_weights._15411_,19.02µm
m.u_tree._0367_,19.02µm
m.u_conv3.u_weights._08330_,19.015µm
m.u_conv3.u_weights._14354_,19.01µm
m.u_conv2.acc\[23\]\[5\],19.005µm
m.u_conv3.u_weights._02760_,19.005µm
m.u_conv3.u_weights._09463_,19.005µm
m.u_conv3.u_weights._12645_,19.005µm
m.u_conv3.u_weights._13501_,18.995µm
m._004_,18.98µm
m.u_conv2.acc\[60\]\[4\],18.98µm
m.u_conv3.u_weights._01176_,18.98µm
m.u_conv3.u_weights._02056_,18.98µm
m.u_conv3.u_weights._02122_,18.98µm
m.u_conv3.u_weights._03230_,18.98µm
uo_out[0],18.98µm
m.u_conv3.u_weights._13460_,18.975µm
m.u_conv1._139_,18.97µm
m.u_conv1.u_loader._283_,18.97µm
m.u_conv3.u_weights._00141_,18.97µm
m.u_conv3.u_weights._00542_,18.97µm
m.u_conv3.u_weights._06407_,18.97µm
m.u_conv3.u_weights._07692_,18.97µm
m.u_conv3.u_weights._10406_,18.97µm
m.u_conv3.u_weights._03029_,18.965µm
m.u_conv3.u_weights._09401_,18.965µm
m.u_conv3.u_weights._02791_,18.96µm
m.u_conv3.u_weights._13369_,18.96µm
m.u_conv3.u_weights._00233_,18.955µm
m.u_conv3.u_weights._15733_,18.955µm
m.u_conv3.u_weights._08960_,18.95µm
m.u_conv3.u_weights._03348_,18.945µm
m.u_conv3.u_weights._01266_,18.93µm
m.u_conv3.u_weights._12405_,18.93µm
m.u_conv2.acc\[18\]\[5\],18.92µm
m.u_conv3.u_weights._01640_,18.92µm
m.u_conv3.u_weights._01983_,18.92µm
m.u_conv2.acc\[10\]\[0\],18.91µm
m.u_conv3.u_weights._04036_,18.91µm
m.u_conv3.u_weights._06907_,18.91µm
m.u_conv3.u_weights._11848_,18.91µm
m.u_conv3.u_weights._13845_,18.91µm
m.u_conv3.u_weights._14383_,18.91µm
m.u_conv3.u_weights._15114_,18.91µm
m.u_conv2.u_weights._116_,18.905µm
m.u_conv3.u_weights._01805_,18.905µm
m.u_conv3.u_weights._02223_,18.9µm
m.u_conv3.u_weights._09032_,18.9µm
m.u_conv3.u_weights._14115_,18.895µm
m.u_conv3.u_weights._01731_,18.89µm
m.u_conv3.u_weights._12876_,18.885µm
m.u_conv3.u_weights._01222_,18.87µm
m.u_conv3.u_weights._03659_,18.87µm
m.u_conv3.u_weights._06006_,18.87µm
m.u_conv3.u_weights._04044_,18.865µm
m.u_conv3.u_weights._07406_,18.865µm
m.u_conv3.u_weights._02701_,18.86µm
m.u_conv3.u_weights._03077_,18.86µm
m.u_conv3.u_weights._06526_,18.86µm
m.u_conv3.u_weights._07877_,18.86µm
m.u_conv3.u_weights._08840_,18.86µm
m.u_conv3.u_weights._10045_,18.86µm
m.u_conv3.u_weights._10218_,18.86µm
m.u_pool1._147_,18.86µm
m.u_conv3.u_weights._13114_,18.855µm
m.u_conv3.u_weights._00210_,18.85µm
m.u_conv3.u_weights._02082_,18.85µm
m.u_conv3.u_weights._05014_,18.85µm
m.u_conv3.u_weights._06672_,18.85µm
m.u_conv3.u_weights._07107_,18.85µm
m.u_conv3.u_weights._12571_,18.85µm
m.u_conv3.u_weights._12676_,18.85µm
m.u_conv3.u_weights._02594_,18.84µm
m.u_conv3.u_weights._10152_,18.84µm
m.u_conv3.u_weights._15556_,18.84µm
m.u_pool1._000_,18.84µm
m.u_pool1._165_,18.84µm
m.u_conv3.u_weights._14950_,18.835µm
m.u_conv3.u_weights._05931_,18.825µm
m.u_conv2.u_weights._036_,18.82µm
m.u_conv3.u_weights._15633_,18.81µm
m.u_tree._0028_,18.81µm
m.u_conv3.u_weights._01186_,18.805µm
m.u_conv3._186_,18.8µm
m.u_conv3.u_weights._09935_,18.8µm
m.u_tree._1557_,18.79µm
m.u_tree._0168_,18.78µm
m.u_conv1.u_loader._184_,18.775µm
m.u_conv3.u_weights._15226_,18.775µm
m.u_conv3.u_weights._07076_,18.765µm
m.u_conv3.u_weights._00861_,18.76µm
m.u_conv3.u_weights._00748_,18.755µm
m.u_conv1.u_weights._144_,18.75µm
m.u_conv2.u_loader._403_,18.75µm
m.u_conv3.u_weights._15101_,18.75µm
m.u_conv2._0668_,18.745µm
m.u_conv2._0986_,18.74µm
m.u_conv3.u_weights._03509_,18.74µm
m.u_conv3.u_weights._02870_,18.73µm
m.u_conv3.u_weights._07761_,18.73µm
m.u_conv3.u_weights._08083_,18.73µm
m.u_pool1._190_,18.73µm
net3031,18.73µm
m.u_conv3.u_weights._05080_,18.725µm
m.u_conv3.u_weights._10782_,18.725µm
m.u_conv3.u_weights._09747_,18.72µm
m.u_tree._1440_,18.72µm
net2887,18.72µm
m.u_conv2.u_weights._284_,18.715µm
m.u_conv2.acc\[60\]\[1\],18.705µm
m.u_conv3.u_weights._06736_,18.69µm
m.u_conv3.u_weights._14874_,18.69µm
m.u_tree._0425_,18.68µm
m.u_conv2.u_loader._069_,18.67µm
m.u_conv3.input_buf\[26\],18.67µm
m.u_conv3.u_weights._01853_,18.67µm
m.u_conv3.u_weights._02325_,18.67µm
m.u_conv3.u_weights._14062_,18.67µm
m.u_conv3.u_weights._08648_,18.66µm
m.u_conv3.u_weights._11160_,18.66µm
m.u_conv3.u_weights._15715_,18.66µm
m.u_conv3.u_weights._09468_,18.655µm
m.u_conv3.u_weights._10535_,18.655µm
m.u_conv3.u_weights._11419_,18.655µm
m.u_tree._0170_,18.655µm
m.u_conv2._0993_,18.635µm
m.u_conv3.u_weights._02334_,18.635µm
m.u_conv3.u_weights._13126_,18.635µm
m.u_conv3.u_weights._12434_,18.63µm
m.u_conv3.u_weights._13758_,18.63µm
m.u_conv3.u_weights._00975_,18.625µm
m.u_conv3.u_weights._07837_,18.625µm
m.u_conv1.u_loader._191_,18.62µm
m.u_conv3.u_weights._02322_,18.62µm
m.u_conv3.u_weights._04415_,18.62µm
m.u_conv3.u_weights._12072_,18.62µm
m.u_conv3.u_weights._10174_,18.615µm
m.u_conv2.acc\[20\]\[2\],18.61µm
m.u_conv3.u_weights._01743_,18.61µm
m.u_tree._0097_,18.61µm
m.u_conv3.u_weights._01712_,18.6µm
m.u_conv3.u_weights._07388_,18.6µm
m.u_tree._0547_,18.6µm
m.u_conv3.u_weights._04982_,18.595µm
m.u_conv3.u_weights._06254_,18.595µm
m.u_conv3.u_weights._13299_,18.595µm
m.u_conv3.u_weights._14452_,18.595µm
m.u_conv3.u_weights._07553_,18.585µm
m.u_conv3.u_weights._00335_,18.58µm
m.u_tree._0094_,18.58µm
net2244,18.575µm
m.u_conv2._0861_,18.57µm
m.u_conv3.u_weights._02684_,18.57µm
m.u_conv3.u_weights._15383_,18.56µm
m.u_tree._1076_,18.56µm
m.u_conv3.u_weights._13184_,18.555µm
