Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_185_2046,VDD,Metal1,986.6490,703.6780,1.200000
FILLER_185_2039,VDD,Metal1,983.2890,703.6780,1.200000
FILLER_185_2032,VDD,Metal1,979.9290,703.6780,1.200000
FILLER_185_2025,VDD,Metal1,976.5690,703.6780,1.200000
FILLER_185_2018,VDD,Metal1,973.2090,703.6780,1.200000
FILLER_185_2011,VDD,Metal1,969.8490,703.6780,1.200000
FILLER_185_2004,VDD,Metal1,966.4890,703.6780,1.200000
FILLER_185_1997,VDD,Metal1,963.1290,703.6780,1.200000
FILLER_185_1990,VDD,Metal1,959.7690,703.6780,1.200000
FILLER_185_1983,VDD,Metal1,956.4090,703.6780,1.200000
FILLER_185_1976,VDD,Metal1,953.0490,703.6780,1.200000
FILLER_185_1969,VDD,Metal1,949.6890,703.6780,1.200000
FILLER_185_1962,VDD,Metal1,946.3290,703.6780,1.200000
FILLER_185_1955,VDD,Metal1,942.9690,703.6780,1.200000
FILLER_185_1948,VDD,Metal1,939.6090,703.6780,1.200000
FILLER_185_1941,VDD,Metal1,936.2490,703.6780,1.200000
FILLER_185_1934,VDD,Metal1,932.8890,703.6780,1.200000
FILLER_185_1927,VDD,Metal1,929.5290,703.6780,1.200000
FILLER_185_1920,VDD,Metal1,926.1690,703.6780,1.200000
FILLER_185_1913,VDD,Metal1,922.8090,703.6780,1.200000
FILLER_185_1906,VDD,Metal1,919.4490,703.6780,1.200000
FILLER_185_1899,VDD,Metal1,916.0890,703.6780,1.200000
FILLER_185_1892,VDD,Metal1,912.7290,703.6780,1.200000
FILLER_185_1885,VDD,Metal1,909.3690,703.6780,1.200000
FILLER_185_1878,VDD,Metal1,906.0090,703.6780,1.200000
FILLER_185_1871,VDD,Metal1,902.6490,703.6780,1.200000
FILLER_185_1864,VDD,Metal1,899.2890,703.6780,1.200000
FILLER_185_1857,VDD,Metal1,895.9290,703.6780,1.200000
FILLER_185_1850,VDD,Metal1,892.5690,703.6780,1.200000
FILLER_185_1843,VDD,Metal1,889.2090,703.6780,1.200000
FILLER_185_1836,VDD,Metal1,885.8490,703.6780,1.200000
FILLER_185_1829,VDD,Metal1,882.4890,703.6780,1.200000
FILLER_185_1822,VDD,Metal1,879.1290,703.6780,1.200000
FILLER_185_1815,VDD,Metal1,875.7690,703.6780,1.200000
FILLER_185_1808,VDD,Metal1,872.4090,703.6780,1.200000
FILLER_185_1801,VDD,Metal1,869.0490,703.6780,1.200000
FILLER_185_1794,VDD,Metal1,865.6890,703.6780,1.200000
FILLER_185_1787,VDD,Metal1,862.3290,703.6780,1.200000
FILLER_185_1780,VDD,Metal1,858.9690,703.6780,1.200000
